cid,contributor_code,collection_code,contribsys_id
100255925,AEU,AEU,ia-aeu4953193
100256027,AEU,AEU,ia-aeu4953297
100256077,AEU,AEU,ia-aeu4953348
100256114,AEU,AEU,ia-aeu4953387
100256115,AEU,AEU,ia-aeu4953388
100256116,AEU,AEU,ia-aeu4953389
100256117,AEU,AEU,ia-aeu4953390
100256123,AEU,AEU,ia-aeu4953396
100256126,AEU,AEU,ia-aeu4953399
100256128,AEU,AEU,ia-aeu4953401
100256137,AEU,AEU,ia-aeu4953410
100256144,AEU,AEU,ia-aeu4953417
100256168,AEU,AEU,ia-aeu4953442
100256170,AEU,AEU,ia-aeu4953444
100256171,AEU,AEU,ia-aeu4953445
100256172,AEU,AEU,ia-aeu4953446
100256173,AEU,AEU,ia-aeu4953447
100256174,AEU,AEU,ia-aeu4953448
100256175,AEU,AEU,ia-aeu4953449
100256175,AEU,AEU,ia-aeu4953450
100256175,AEU,AEU,ia-aeu4953452
100256183,AEU,AEU,ia-aeu4953459
100256184,AEU,AEU,ia-aeu4953460
100256197,AEU,AEU,ia-aeu4953473
100256215,AEU,AEU,ia-aeu4953491
100256256,AEU,AEU,ia-aeu4953532
100256262,AEU,AEU,ia-aeu4953538
100256497,AEU,AEU,ia-aeu4953787
100256536,AEU,AEU,ia-aeu4953827
100256537,AEU,AEU,ia-aeu4953828
100256538,AEU,AEU,ia-aeu4953829
100256539,AEU,AEU,ia-aeu4953830
100256663,AEU,AEU,ia-aeu4953956
100256670,AEU,AEU,ia-aeu4953963
100256688,AEU,AEU,ia-aeu4953984
100256077,AEU,AEU,ia-aeu4954016
100256722,AEU,AEU,ia-aeu4954022
100256723,AEU,AEU,ia-aeu4954023
100256724,AEU,AEU,ia-aeu4954024
100256725,AEU,AEU,ia-aeu4954025
100256801,AEU,AEU,ia-aeu4954101
100256805,AEU,AEU,ia-aeu4954105
100256805,AEU,AEU,ia-aeu4954106
100256898,AEU,AEU,ia-aeu4954206
100256938,AEU,AEU,ia-aeu4954246
100257048,AEU,AEU,ia-aeu4954363
100257265,AEU,AEU,ia-aeu4954599
100257503,AEU,AEU,ia-aeu4954843
100257533,AEU,AEU,ia-aeu4954874
100257592,AEU,AEU,ia-aeu4954939
100257599,AEU,AEU,ia-aeu4954946
100258517,AEU,AEU,ia-aeu4956127
100258815,AEU,AEU,ia-aeu4956485
100258835,AEU,AEU,ia-aeu4956506
100258848,AEU,AEU,ia-aeu4956519
100258849,AEU,AEU,ia-aeu4956520
100259287,AEU,AEU,ia-aeu4956974
100259316,AEU,AEU,ia-aeu4957003
100260164,AEU,AEU,ia-aeu4957859
100260165,AEU,AEU,ia-aeu4957860
100260477,AEU,AEU,ia-aeu4958178
100260981,AEU,AEU,ia-aeu4958702
100260988,AEU,AEU,ia-aeu4958709
100260995,AEU,AEU,ia-aeu4958716
100261004,AEU,AEU,ia-aeu4958725
100261242,AEU,AEU,ia-aeu4958971
100261243,AEU,AEU,ia-aeu4958972
100261244,AEU,AEU,ia-aeu4958973
100261246,AEU,AEU,ia-aeu4958975
100261247,AEU,AEU,ia-aeu4958976
100261279,AEU,AEU,ia-aeu4959008
100261289,AEU,AEU,ia-aeu4959019
100262006,AEU,AEU,ia-aeu4959771
100262009,AEU,AEU,ia-aeu4959774
100262052,AEU,AEU,ia-aeu4959819
100262244,AEU,AEU,ia-aeu4960027
100262653,AEU,AEU,ia-aeu4960516
100262672,AEU,AEU,ia-aeu4960536
100263154,AEU,AEU,ia-aeu4961043
100263168,AEU,AEU,ia-aeu4961059
100263700,AEU,AEU,ia-aeu4961625
100263700,AEU,AEU,ia-aeu4961626
100263761,AEU,AEU,ia-aeu4961708
100264549,AEU,AEU,ia-aeu4962536
100264593,AEU,AEU,ia-aeu4962580
100264769,AEU,AEU,ia-aeu4962769
100265261,AEU,AEU,ia-aeu4963322
100265391,AEU,AEU,ia-aeu4963476
100265439,AEU,AEU,ia-aeu4963531
100265813,AEU,AEU,ia-aeu4963925
100268736,AEU,AEU,ia-aeu4967608
100268763,AEU,AEU,ia-aeu4967636
100268766,AEU,AEU,ia-aeu4967639
100276352,AEU,AEU,ia-aeu4989155
100276353,AEU,AEU,ia-aeu4989156
100277280,AEU,AEU,ia-aeu5038539
100277605,AEU,AEU,ia-aeu5038876
100279313,AEU,AEU,ia-aeu5040629
100279516,AEU,AEU,ia-aeu5040839
100279594,AEU,AEU,ia-aeu5040919
100280058,AEU,AEU,ia-aeu5041394
100281801,AEU,AEU,ia-aeu6265098
100281811,AEU,AEU,ia-aeu6265108
100281812,AEU,AEU,ia-aeu6265109
100281838,AEU,AEU,ia-aeu6265136
100282448,AEU,AEU,ia-aeu6265772
100282919,AEU,AEU,ia-aeu6266271
100283431,AEU,AEU,ia-aeu6266820
100284759,AEU,AEU,ia-aeu6268955
100285429,AEU,AEU,ia-aeu6269652
100286014,AEU,AEU,ia-aeu6270273
100287356,AEU,AEU,ia-aeu6271665
100291661,AEU,AEU,ia-aeu6284994
100291747,AEU,AEU,ia-aeu6285110
100291953,AEU,AEU,ia-aeu6285391
100310292,AEU,AEU,ia-aeu6366883
100310293,AEU,AEU,ia-aeu6366884
100310295,AEU,AEU,ia-aeu6366886
100310696,AEU,AEU,ia-aeu6367293
100311242,AEU,AEU,ia-aeu6367885
100311306,AEU,AEU,ia-aeu6367953
100311373,AEU,AEU,ia-aeu6368020
009550171,CHI,CHI,chi101792
012314227,CHI,CHI,chi1018005
003910707,CHI,CHI,chi1052910
001719226,CHI,CHI,chi1122235
012404271,CHI,CHI,chi1204233
100234853,CHI,CHI,chi1228101
100739595,CHI,CHI,chi1240577
100859355,CHI,CHI,chi1345341
100964453,CHI,CHI,chi1366565
101658614,CHI,CHI,chi1409159
009539050,CHI,CHI,chi1481068
010841768,CHI,CHI,chi1550854
008858183,CHI,CHI,chi159408
008855369,CHI,CHI,chi1603104
002137952,CHI,CHI,chi163043
011827666,CHI,CHI,chi1721968
100732784,CHI,CHI,chi1729372
008856127,CHI,CHI,chi1744226
100730880,CHI,CHI,chi1748770
010842625,CHI,CHI,chi175738
008649102,CHI,CHI,chi1757534
100730912,CHI,CHI,chi1757941
012407213,CHI,CHI,chi1762359
008885526,CHI,CHI,chi177032
009551597,CHI,CHI,chi181055
101658695,CHI,CHI,chi1816314
100734180,CHI,CHI,chi1816593
100734182,CHI,CHI,chi1816616
000465533,CHI,CHI,chi1817773
100734219,CHI,CHI,chi1817907
100734227,CHI,CHI,chi1818193
000290531,CHI,CHI,chi1818543
000832751,CHI,CHI,chi1819660
100734264,CHI,CHI,chi1819920
000320116,CHI,CHI,chi1821357
008730232,CHI,CHI,chi1826434
100734353,CHI,CHI,chi1827921
100734369,CHI,CHI,chi1829822
100730927,CHI,CHI,chi1837417
002943142,CHI,CHI,chi1844544
100866930,CHI,CHI,chi1856362
008733041,CHI,CHI,chi1888405
008733468,CHI,CHI,chi1936032
001271994,CHI,CHI,chi1963398
100734649,CHI,CHI,chi1965950
000522306,CHI,CHI,chi1968162
008887393,CHI,CHI,chi1969145
100188603,CHI,CHI,chi1980185
001885974,CHI,CHI,chi1980190
101658829,CHI,CHI,chi1980240
007931026,CHI,CHI,chi1984529
002137189,CHI,CHI,chi1984535
003850010,CHI,CHI,chi1984536
100870290,CHI,CHI,chi1985389
101658860,CHI,CHI,chi1986602
000505683,CHI,CHI,chi1991541
100872625,CHI,CHI,chi1991647
000932737,CHI,CHI,chi1995242
012511850,CHI,CHI,chi1999136
100909877,CHI,CHI,chi1999296
001719348,CHI,CHI,chi1999406
100909900,CHI,CHI,chi2002035
100909901,CHI,CHI,chi2002078
101658753,CHI,CHI,chi2002271
101658761,CHI,CHI,chi2002482
000065630,CHI,CHI,chi2002527
101658768,CHI,CHI,chi2002547
012511853,CHI,CHI,chi2002836
012511856,CHI,CHI,chi2003754
002137254,CHI,CHI,chi2009120
100868770,CHI,CHI,chi2009360
008373830,CHI,CHI,chi2012161
100726880,CHI,CHI,chi2012163
000640655,CHI,CHI,chi202280
001137867,CHI,CHI,chi2030874
011723976,CHI,CHI,chi2031041
000597559,CHI,CHI,chi203464
012511862,CHI,CHI,chi2044599
007668727,CHI,CHI,chi2126449
000641918,CHI,CHI,chi213733
100746930,CHI,CHI,chi2141623
010846879,CHI,CHI,chi2204269
010846880,CHI,CHI,chi2204270
008857591,CHI,CHI,chi2208654
000078622,CHI,CHI,chi2209081
009552188,CHI,CHI,chi2211744
003918949,CHI,CHI,chi2211766
007882676,CHI,CHI,chi2211933
000078421,CHI,CHI,chi2211934
009553192,CHI,CHI,chi2211948
008857983,CHI,CHI,chi2211955
009553245,CHI,CHI,chi2212675
009553290,CHI,CHI,chi2213499
009553297,CHI,CHI,chi2213834
009547792,CHI,CHI,chi2219680
009547974,CHI,CHI,chi2220007
001297459,CHI,CHI,chi2224720
009666451,CHI,CHI,chi2224722
008886417,CHI,CHI,chi2225447
008856424,CHI,CHI,chi2227354
008857476,CHI,CHI,chi2228227
001719645,CHI,CHI,chi2229969
008857204,CHI,CHI,chi2230466
002138717,CHI,CHI,chi2231714
008858391,CHI,CHI,chi2231715
009894881,CHI,CHI,chi2236200
009894882,CHI,CHI,chi2236203
007398686,CHI,CHI,chi2236204
009894883,CHI,CHI,chi2236206
002137879,CHI,CHI,chi2236207
000063827,CHI,CHI,chi2236212
009150756,CHI,CHI,chi2236213
009894884,CHI,CHI,chi2236214
008606992,CHI,CHI,chi2236217
009894898,CHI,CHI,chi2236272
009153554,CHI,CHI,chi2236627
010840706,CHI,CHI,chi2236834
010840707,CHI,CHI,chi2236838
001719679,CHI,CHI,chi2236943
010840914,CHI,CHI,chi2236944
009790719,CHI,CHI,chi2237153
008603229,CHI,CHI,chi2237728
010841603,CHI,CHI,chi2237729
002012043,CHI,CHI,chi2237861
007910946,CHI,CHI,chi2238013
002025390,CHI,CHI,chi2238441
010845577,CHI,CHI,chi2238669
008913056,CHI,CHI,chi2239957
000529329,CHI,CHI,chi2239958
011437889,CHI,CHI,chi2240469
011437992,CHI,CHI,chi2242154
012102917,CHI,CHI,chi2242512
012406878,CHI,CHI,chi2242933
100238417,CHI,CHI,chi2243527
012102939,CHI,CHI,chi2244257
011437815,CHI,CHI,chi2244381
000078514,CHI,CHI,chi2245924
001621484,CHI,CHI,chi2245978
009023869,CHI,CHI,chi2246420
000116831,CHI,CHI,chi2253395
010847818,CHI,CHI,chi2258640
002616808,CHI,CHI,chi230440
000520685,CHI,CHI,chi232431
000905133,CHI,CHI,chi2330841
009665797,CHI,CHI,chi2334738
012241665,CHI,CHI,chi2342799
011274559,CHI,CHI,chi2348064
003920034,CHI,CHI,chi2361185
000525009,CHI,CHI,chi2361222
012507856,CHI,CHI,chi2363911
012102973,CHI,CHI,chi2377685
002138746,CHI,CHI,chi2381672
009666241,CHI,CHI,chi2382098
012507862,CHI,CHI,chi2382659
010841715,CHI,CHI,chi2384143
000494384,CHI,CHI,chi2386946
010418094,CHI,CHI,chi240445
010848001,CHI,CHI,chi2466664
001720356,CHI,CHI,chi246756
011269837,CHI,CHI,chi2483956
011269911,CHI,CHI,chi2488378
100910337,CHI,CHI,chi2552556
006513519,CHI,CHI,chi2559960
000565836,CHI,CHI,chi2569718
000505470,CHI,CHI,chi257739
100738753,CHI,CHI,chi2583116
100738757,CHI,CHI,chi2586137
100738758,CHI,CHI,chi2586163
100738759,CHI,CHI,chi2586175
011268845,CHI,CHI,chi2625811
001582750,CHI,CHI,chi2631251
000065480,CHI,CHI,chi264400
010850275,CHI,CHI,chi2652781
011678184,CHI,CHI,chi2653557
100867152,CHI,CHI,chi2655734
100738770,CHI,CHI,chi2662632
100912222,CHI,CHI,chi2663202
100772367,CHI,CHI,chi2669676
100483734,CHI,CHI,chi2687158
100738785,CHI,CHI,chi2703490
100738786,CHI,CHI,chi2703496
100738787,CHI,CHI,chi2703499
100738788,CHI,CHI,chi2703506
100738790,CHI,CHI,chi2703556
100738791,CHI,CHI,chi2703568
100738792,CHI,CHI,chi2703573
100738793,CHI,CHI,chi2703594
100738794,CHI,CHI,chi2703602
100738795,CHI,CHI,chi2703605
100738796,CHI,CHI,chi2703607
100738798,CHI,CHI,chi2703618
100747122,CHI,CHI,chi2703619
011438000,CHI,CHI,chi2729342
002064867,CHI,CHI,chi274976
100734841,CHI,CHI,chi2761594
000682062,CHI,CHI,chi284256
100740651,CHI,CHI,chi2894666
009666885,CHI,CHI,chi2895337
011249788,CHI,CHI,chi2897295
012103007,CHI,CHI,chi2897846
000055397,CHI,CHI,chi2898672
000526678,CHI,CHI,chi290522
010840772,CHI,CHI,chi290963
000543006,CHI,CHI,chi2914098
012507913,CHI,CHI,chi2915129
009666799,CHI,CHI,chi2918506
002134313,CHI,CHI,chi2922056
100726996,CHI,CHI,chi2922342
100867411,CHI,CHI,chi2936611
000680768,CHI,CHI,chi297423
008856840,CHI,CHI,chi299527
007909016,CHI,CHI,chi3015479
100732888,CHI,CHI,chi3015940
100740672,CHI,CHI,chi3017132
101659302,CHI,CHI,chi3017197
101659303,CHI,CHI,chi3017219
011827845,CHI,CHI,chi3017307
101659307,CHI,CHI,chi3017314
008903429,CHI,CHI,chi3017332
000525986,CHI,CHI,chi3017473
008895911,CHI,CHI,chi3018147
002138094,CHI,CHI,chi3018155
100740673,CHI,CHI,chi3018180
009172677,CHI,CHI,chi3018217
009895077,CHI,CHI,chi3018427
002137151,CHI,CHI,chi3018514
002136663,CHI,CHI,chi3018644
100111887,CHI,CHI,chi3018794
101659321,CHI,CHI,chi3018800
003824006,CHI,CHI,chi3019008
002138105,CHI,CHI,chi3019022
006106058,CHI,CHI,chi3019070
009026874,CHI,CHI,chi3019406
010841858,CHI,CHI,chi3019955
012241730,CHI,CHI,chi3020012
008856086,CHI,CHI,chi3020240
002138421,CHI,CHI,chi3020412
008919533,CHI,CHI,chi3020589
008607865,CHI,CHI,chi3020878
100740676,CHI,CHI,chi3020929
101659336,CHI,CHI,chi3020997
101659337,CHI,CHI,chi3021012
100740678,CHI,CHI,chi3021048
003928489,CHI,CHI,chi3021115
100744925,CHI,CHI,chi3021616
012512048,CHI,CHI,chi3021715
009895092,CHI,CHI,chi3021752
010841832,CHI,CHI,chi3021754
100627521,CHI,CHI,chi3021773
008858407,CHI,CHI,chi3021785
011592933,CHI,CHI,chi3021962
010842052,CHI,CHI,chi3022663
009010133,CHI,CHI,chi3022669
100734900,CHI,CHI,chi3022707
100727032,CHI,CHI,chi3022708
100740680,CHI,CHI,chi3022912
009172668,CHI,CHI,chi3023434
012371512,CHI,CHI,chi3023509
002137503,CHI,CHI,chi3023541
007417874,CHI,CHI,chi3024156
009895095,CHI,CHI,chi3024163
012512052,CHI,CHI,chi3024230
100158016,CHI,CHI,chi3024382
100744928,CHI,CHI,chi3024439
009895097,CHI,CHI,chi3024596
002140881,CHI,CHI,chi3024969
007136281,CHI,CHI,chi3025100
010842608,CHI,CHI,chi3025103
010845965,CHI,CHI,chi3025105
001719368,CHI,CHI,chi3025395
101659358,CHI,CHI,chi3025495
007154155,CHI,CHI,chi3025520
008885374,CHI,CHI,chi3025640
008856934,CHI,CHI,chi3025721
009895098,CHI,CHI,chi3025756
001719664,CHI,CHI,chi3025801
009666251,CHI,CHI,chi3025871
010841169,CHI,CHI,chi3025922
000889408,CHI,CHI,chi3025931
005985707,CHI,CHI,chi3025932
009895099,CHI,CHI,chi3025948
012407973,CHI,CHI,chi3025978
012512057,CHI,CHI,chi3025993
002137671,CHI,CHI,chi3026245
008856936,CHI,CHI,chi3026298
011592937,CHI,CHI,chi3026319
011592938,CHI,CHI,chi3026328
100740684,CHI,CHI,chi3026390
012508015,CHI,CHI,chi3026479
002137350,CHI,CHI,chi3026552
002136679,CHI,CHI,chi3026631
012508017,CHI,CHI,chi3026641
002138331,CHI,CHI,chi3026733
101659364,CHI,CHI,chi3026838
007833458,CHI,CHI,chi3027079
011437685,CHI,CHI,chi3027102
003922649,CHI,CHI,chi3027130
100627524,CHI,CHI,chi3027174
012512064,CHI,CHI,chi3027197
007172095,CHI,CHI,chi3027506
012508022,CHI,CHI,chi3028025
008857648,CHI,CHI,chi3028197
000531902,CHI,CHI,chi3028488
100627536,CHI,CHI,chi3030780
100747188,CHI,CHI,chi3069905
100870804,CHI,CHI,chi3106049
100870814,CHI,CHI,chi3106244
100863762,CHI,CHI,chi3110130
100749086,CHI,CHI,chi3149726
011426452,CHI,CHI,chi3160303
011592943,CHI,CHI,chi3163532
008855428,CHI,CHI,chi3206059
011592959,CHI,CHI,chi3207358
012173353,CHI,CHI,chi3209191
009552292,CHI,CHI,chi3213082
012241750,CHI,CHI,chi3214682
011540439,CHI,CHI,chi3214901
011593043,CHI,CHI,chi3215509
003353748,CHI,CHI,chi3216799
011593055,CHI,CHI,chi3216857
100735283,CHI,CHI,chi3228895
011593100,CHI,CHI,chi3230611
010846666,CHI,CHI,chi3231557
100910614,CHI,CHI,chi3244937
010841070,CHI,CHI,chi324740
009552307,CHI,CHI,chi3248309
009666759,CHI,CHI,chi3249221
001558744,CHI,CHI,chi3249258
008858409,CHI,CHI,chi3249525
002004387,CHI,CHI,chi3249607
008857062,CHI,CHI,chi3250728
010842292,CHI,CHI,chi3251132
011437597,CHI,CHI,chi3251407
011437602,CHI,CHI,chi3251577
011827898,CHI,CHI,chi3251632
011437611,CHI,CHI,chi3251977
009895213,CHI,CHI,chi3252009
010840847,CHI,CHI,chi3252025
011437614,CHI,CHI,chi3252037
011827913,CHI,CHI,chi3252386
002080073,CHI,CHI,chi3253568
011437619,CHI,CHI,chi3254494
100867918,CHI,CHI,chi3254576
001175353,CHI,CHI,chi3254665
011826460,CHI,CHI,chi3255290
012241828,CHI,CHI,chi3256689
011826568,CHI,CHI,chi3259081
008856902,CHI,CHI,chi3261367
010995674,CHI,CHI,chi3263058
008858504,CHI,CHI,chi3271862
008858506,CHI,CHI,chi3271974
008858538,CHI,CHI,chi3272008
010840860,CHI,CHI,chi3276176
010841663,CHI,CHI,chi3277400
011828081,CHI,CHI,chi3285114
011828093,CHI,CHI,chi3287981
007659171,CHI,CHI,chi3288107
011828101,CHI,CHI,chi3288528
012407129,CHI,CHI,chi3289605
100867929,CHI,CHI,chi3291104
100912355,CHI,CHI,chi3293344
100364798,CHI,CHI,chi3293555
100867950,CHI,CHI,chi3294916
100910734,CHI,CHI,chi3312559
100910744,CHI,CHI,chi3312713
100910772,CHI,CHI,chi3312916
100910808,CHI,CHI,chi3313254
100910857,CHI,CHI,chi3318505
012407139,CHI,CHI,chi3321041
100731121,CHI,CHI,chi3367409
100724263,CHI,CHI,chi3370802
003500161,CHI,CHI,chi3372865
010445115,CHI,CHI,chi3457446
101658434,CHI,CHI,chi345922
100912374,CHI,CHI,chi3459836
011270567,CHI,CHI,chi3460227
011270569,CHI,CHI,chi3460230
012407437,CHI,CHI,chi3462113
010994151,CHI,CHI,chi3484775
001306869,CHI,CHI,chi3504227
011271606,CHI,CHI,chi3504288
000966779,CHI,CHI,chi350529
011692525,CHI,CHI,chi3507887
101659637,CHI,CHI,chi3539963
101659653,CHI,CHI,chi3541958
100875113,CHI,CHI,chi3547868
100875084,CHI,CHI,chi3548055
101659698,CHI,CHI,chi3548377
100871934,CHI,CHI,chi3551499
101659803,CHI,CHI,chi3551583
011269983,CHI,CHI,chi3560570
000956261,CHI,CHI,chi3570112
100863796,CHI,CHI,chi3578750
101659978,CHI,CHI,chi3592464
101659980,CHI,CHI,chi3592467
101659985,CHI,CHI,chi3597360
101660046,CHI,CHI,chi3604508
101660052,CHI,CHI,chi3604932
101660053,CHI,CHI,chi3604943
101660054,CHI,CHI,chi3604952
101660061,CHI,CHI,chi3605153
101660117,CHI,CHI,chi3605429
101660121,CHI,CHI,chi3605455
100911261,CHI,CHI,chi3605501
101660132,CHI,CHI,chi3605568
101660166,CHI,CHI,chi3605675
101660182,CHI,CHI,chi3605727
101660196,CHI,CHI,chi3605795
101660197,CHI,CHI,chi3605807
101660211,CHI,CHI,chi3606089
101660223,CHI,CHI,chi3606239
101660228,CHI,CHI,chi3606276
101659993,CHI,CHI,chi3607551
101659994,CHI,CHI,chi3607555
101659995,CHI,CHI,chi3607557
101660006,CHI,CHI,chi3607817
001352030,CHI,CHI,chi3607819
008375972,CHI,CHI,chi3607903
101660253,CHI,CHI,chi3608550
100745340,CHI,CHI,chi3657623
000679591,CHI,CHI,chi369453
012407838,CHI,CHI,chi370845
101658442,CHI,CHI,chi370847
100390177,CHI,CHI,chi3720981
100748100,CHI,CHI,chi3726208
100860252,CHI,CHI,chi3751380
009895584,CHI,CHI,chi3824477
101660281,CHI,CHI,chi3847827
012241997,CHI,CHI,chi3883919
002423412,CHI,CHI,chi3884455
011272858,CHI,CHI,chi3887692
100729095,CHI,CHI,chi3887845
011272517,CHI,CHI,chi3890377
011272899,CHI,CHI,chi3891905
011692738,CHI,CHI,chi3893069
011272548,CHI,CHI,chi3893533
011692620,CHI,CHI,chi3897244
011272616,CHI,CHI,chi3898913
011272618,CHI,CHI,chi3898916
011272227,CHI,CHI,chi3898951
011272643,CHI,CHI,chi3899044
011692752,CHI,CHI,chi3899066
011272960,CHI,CHI,chi3899681
011272700,CHI,CHI,chi3899694
011272704,CHI,CHI,chi3899745
011826794,CHI,CHI,chi3900071
011826795,CHI,CHI,chi3900074
011272728,CHI,CHI,chi3900312
011272729,CHI,CHI,chi3900318
011272737,CHI,CHI,chi3900424
011273027,CHI,CHI,chi3900480
011273030,CHI,CHI,chi3900522
012407517,CHI,CHI,chi3913846
011272758,CHI,CHI,chi3914806
012407519,CHI,CHI,chi3915067
011273268,CHI,CHI,chi3916416
011272778,CHI,CHI,chi3921114
011274059,CHI,CHI,chi3922379
001623520,CHI,CHI,chi3923630
011274087,CHI,CHI,chi3924212
010849226,CHI,CHI,chi3925509
010850841,CHI,CHI,chi3928036
012173430,CHI,CHI,chi3928044
010850847,CHI,CHI,chi3929016
011435600,CHI,CHI,chi3931850
011435728,CHI,CHI,chi3932494
011435605,CHI,CHI,chi3932554
011435181,CHI,CHI,chi3933305
011435617,CHI,CHI,chi3934761
011435753,CHI,CHI,chi3934844
011593235,CHI,CHI,chi3935762
011435633,CHI,CHI,chi3936524
011435787,CHI,CHI,chi3939457
010843170,CHI,CHI,chi3942764
011272790,CHI,CHI,chi3949374
011272791,CHI,CHI,chi3949375
011827074,CHI,CHI,chi3949382
011827087,CHI,CHI,chi3949576
011273454,CHI,CHI,chi3950206
011827139,CHI,CHI,chi3950681
011827146,CHI,CHI,chi3950881
011272372,CHI,CHI,chi3950970
011827152,CHI,CHI,chi3951039
011272819,CHI,CHI,chi3951212
011274154,CHI,CHI,chi3951320
011273860,CHI,CHI,chi3951373
011273861,CHI,CHI,chi3951401
011273862,CHI,CHI,chi3951403
011827166,CHI,CHI,chi3951459
011273907,CHI,CHI,chi3951521
011827170,CHI,CHI,chi3951538
011827171,CHI,CHI,chi3951548
011827184,CHI,CHI,chi3951791
011274186,CHI,CHI,chi3951793
011827185,CHI,CHI,chi3951829
011273163,CHI,CHI,chi3951900
012407559,CHI,CHI,chi3951945
011274218,CHI,CHI,chi3951948
011273168,CHI,CHI,chi3951961
011274227,CHI,CHI,chi3952048
011273175,CHI,CHI,chi3952345
011274265,CHI,CHI,chi3952592
010849273,CHI,CHI,chi3952630
010849274,CHI,CHI,chi3952632
010849277,CHI,CHI,chi3952636
010849280,CHI,CHI,chi3952640
010849282,CHI,CHI,chi3952646
010850905,CHI,CHI,chi3952878
011274400,CHI,CHI,chi3952978
011273629,CHI,CHI,chi3953098
011435255,CHI,CHI,chi3953765
011435643,CHI,CHI,chi3953854
011435649,CHI,CHI,chi3953895
011593257,CHI,CHI,chi3953906
011435651,CHI,CHI,chi3953908
011435652,CHI,CHI,chi3953910
011435270,CHI,CHI,chi3953961
011435272,CHI,CHI,chi3953966
011435657,CHI,CHI,chi3954041
011435281,CHI,CHI,chi3954098
011435662,CHI,CHI,chi3954111
011435663,CHI,CHI,chi3954113
011435285,CHI,CHI,chi3954197
011593259,CHI,CHI,chi3954203
011435287,CHI,CHI,chi3954491
011435677,CHI,CHI,chi3954699
011435684,CHI,CHI,chi3954906
011435965,CHI,CHI,chi3955317
011827237,CHI,CHI,chi3957444
011274421,CHI,CHI,chi3957450
011435888,CHI,CHI,chi3968233
011435889,CHI,CHI,chi3968238
011593272,CHI,CHI,chi3968299
011435893,CHI,CHI,chi3968304
011435906,CHI,CHI,chi3968376
011435912,CHI,CHI,chi3968496
011435924,CHI,CHI,chi3978497
001108956,CHI,CHI,chi3981206
003989650,CHI,CHI,chi400499
010845263,CHI,CHI,chi4018717
010845407,CHI,CHI,chi4031212
011437431,CHI,CHI,chi4031953
012173555,CHI,CHI,chi4032052
010843794,CHI,CHI,chi4033751
008596328,CHI,CHI,chi4035078
010848716,CHI,CHI,chi4036333
010850789,CHI,CHI,chi4041739
010845325,CHI,CHI,chi4049727
010845417,CHI,CHI,chi4049846
010844640,CHI,CHI,chi4051613
010850688,CHI,CHI,chi4051891
101660293,CHI,CHI,chi4055714
010847180,CHI,CHI,chi4056721
011436393,CHI,CHI,chi4134846
007876401,CHI,CHI,chi4135164
012242113,CHI,CHI,chi4137281
010842921,CHI,CHI,chi4171946
010842922,CHI,CHI,chi4171949
008594331,CHI,CHI,chi4201459
011435335,CHI,CHI,chi4204936
011593455,CHI,CHI,chi4205144
010851025,CHI,CHI,chi4207751
010851026,CHI,CHI,chi4207752
011435348,CHI,CHI,chi4208022
011435349,CHI,CHI,chi4208028
000676682,CHI,CHI,chi4208038
